URL,Title,Publish date,Authors,Section,Tags,Sort (Engaged minutes),Visitors,Views,Engaged minutes,New vis.,Returning vis.,Views new vis.,Avg. views new vis.,Views ret. vis.,Avg. views ret. vis.,Minutes New Vis.,Avg. minutes new vis.,Minutes Ret. Vis.,Avg. minutes ret. vis.,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Li refs,Pi refs,Social interactions,Fb interactions,Tw interactions,Li interactions,Pi interactions,Video starts,Video minutes watched,Website views,AMP views,Fb instant views
https://www.thespec.com/opinion-story/8968346-bernardo-parole-hearing-set-for-wednesday/,Bernardo parole hearing set for Wednesday,2018-10-16 12:38,susan clairmont,opinion,"category:news,category:opinion,images:1,manual_torstar_tag:4,manual_torstar_tag:6,manual_torstar_tag:7,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",7095,3468,3898,7095,2004,1464,2232,1.072,1667,1.139,4311,2.07,2784,1.902,662.0,2849,387,380.0,642.0,16.0,1417.0,1438.0,1435.0,3.0,,,77,74,3,,,,,3898,,
https://www.thespec.com/news-story/8745767-police-conclude-ray-emery-s-cause-of-death-was-drowning-it-could-take-months-to-determine-why/,Police conclude Ray Emery’s cause of death was drowning. It could take months to determine why,2018-07-17 01:00,scott radley,news|local,"category:news,category:sports,images:2,manual_torstar_tag:6,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",6513,7249,7912,6513,6382,867,6957,1.049,955,1.101,6087,0.918,426,0.491,1833.0,5508,571,7372.0,325.0,8.0,192.0,9.0,4.0,5.0,,,,,,,,,,7912,,
https://www.thespec.com/opinion-story/8968346-paul-bernardo-parole-hearing-set-for-wednesday/,Paul Bernardo parole hearing set for Wednesday,2018-10-16 06:16,susan clairmont,opinion,"category:news,category:opinion,images:1,manual_torstar_tag:4,manual_torstar_tag:6,manual_torstar_tag:7,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",6233,3299,3685,6233,1274,2025,1370,1.065,2315,1.143,2646,2.058,3586,1.771,1598.0,1878,209,126.0,1678.0,10.0,320.0,1543.0,1540.0,3.0,,,1617,1617,,,,,,3685,,
https://www.thespec.com/news-story/8967417--my-own-door-my-own-bed-my-own-roof-/,"‘My own door, my own bed, my own roof’",2018-10-16 02:00,susan clairmont,news|local,"category:news,images:2,manual_torstar_tag:6,manual_torstar_tag:7,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",4515,3407,3919,4515,1088,2319,1207,1.083,2712,1.169,1688,1.515,2826,1.219,1940.0,1552,427,51.0,2897.0,21.0,239.0,706.0,395.0,310.0,1.0,,422,321,101,,,,,3919,,
https://www.thespec.com/news-story/8967464-fall-beauty-brings-chaos-to-greensville/,Fall beauty brings chaos to Greensville,2018-10-15 15:44,teviah moro,news|local,"category:news,images:1,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",2215,2583,2784,2215,715,1868,738,1.017,2046,1.095,634,0.873,1581,0.846,1684.0,728,372,5.0,2213.0,13.0,314.0,238.0,202.0,36.0,,,82,77,5,,,,,2784,,
https://www.thespec.com/news-story/8894782-mayor-race-information-for-hamilton-voters/,Mayor race information for Hamilton voters,2018-09-12 07:52,Staff,news|municipal election,"category:news,images:0,manual_torstar_tag:7,manual_torstar_tag:8,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|municipal election,video:no",2114,776,1009,2114,373,403,468,1.216,541,1.342,1072,2.784,1041,2.583,468.0,339,202,89.0,799.0,37.0,66.0,17.0,16.0,1.0,,,2,1,1,,,,,1009,,
https://www.thespec.com/news-story/8965835-man-in-aquarium-shark-tank-wanted-for-assault/,Man in aquarium shark tank wanted for assault,2018-10-15 18:25,Staff,news|ontario,"category:news,images:1,news_source:canadianpress,primary_publication:durhamregioncom,subcategory:news|canada,subcategory:news|ontario,video:no",2064,1767,1918,2064,456,1311,495,1.047,1423,1.085,528,1.116,1535,1.171,1264.0,508,146,,1875.0,1.0,40.0,2.0,2.0,,,,,,,,,,,1918,,
https://www.thespec.com/opinion-story/8967550-thanks-to-doug-ford-the-sky-s-the-limit-for-marijuana-in-ontario/,"Thanks to Doug Ford, the sky’s the limit for marijuana in Ontario",2018-10-15 16:50,martin regg cohn,opinion,"category:news,category:opinion,images:1,manual_torstar_tag:13,manual_torstar_tag:4,manual_torstar_tag:8,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|cannabis and you,subcategory:news|ontario,subcategory:opinion|columns,subcategory:opinion|commentary,video:no",2024,1760,1948,2024,670,1090,718,1.054,1230,1.128,849,1.247,1174,1.077,859.0,939,150,313.0,1004.0,181.0,100.0,349.0,195.0,153.0,,,75,68,7,,,,,1948,,
https://www.thespec.com/news-story/8968047-idaho-fish-and-game-commissioner-resigns-amid-criticism-over-african-hunting-photos/,Idaho Fish and Game Commissioner Resigns Amid Criticism Over African Hunting Photos,2018-10-16 03:56,matt stevens and sarah mervosh,news|world,"category:news,images:1,manual_torstar_tag:15,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|world,video:no",2000,1601,1685,2000,527,1074,536,1.063,1149,1.07,579,1.149,1421,1.323,1133.0,456,96,205.0,1206.0,9.0,57.0,207.0,176.0,31.0,,,94,91,3,,,,,1685,,
https://www.thespec.com/news-story/8967544-it-s-all-about-downtown-in-burlington-election/,It’s all about downtown in Burlington election,2018-10-16 02:00,teviah moro,news|local,"category:news,images:5,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,subcategory:news|municipal election,video:no",1918,914,1021,1918,306,608,338,1.073,683,1.123,673,2.137,1245,2.048,583.0,293,145,44.0,545.0,287.0,83.0,60.0,39.0,21.0,,,50,46,4,,,,,1021,,
